Latitude: 32.2299  Longitude: -110.9403
X & Y on Lambert Conformal Conic: -998128.12 -1028390.35
Tile: 11015
Elevation: 748 meters
All years; all variables; Daymet Software Version 3.0; Daymet Data Version 3.0.
How to cite: Thornton; P.E.; M.M. Thornton; B.W. Mayer; Y. Wei; R. Devarakonda; R.S. Vose; and R.B. Cook. 2016. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 3. ORNL DAAC; Oak Ridge; Tennessee; USA. http://dx.doi.org/10.3334/ORNLDAAC/1328

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
1986,309,38016,0.00,316.80,0.00,22.50,7.00,880.00
1986,310,38016,0.00,329.60,0.00,25.00,8.00,920.00
1986,311,37670,2.00,320.00,0.00,23.00,7.00,840.00
1986,312,37670,0.00,345.60,0.00,20.50,2.50,640.00
1986,313,37670,0.00,358.40,0.00,23.00,3.00,600.00
1986,314,37670,0.00,316.80,0.00,23.50,7.00,840.00
1986,315,37325,0.00,339.20,0.00,25.50,6.50,760.00
1986,316,37325,0.00,339.20,0.00,26.00,6.50,760.00
1986,317,37325,0.00,217.60,0.00,24.00,13.00,1440.00
1986,318,37325,0.00,310.40,0.00,25.00,8.00,880.00
1986,319,36979,0.00,227.20,0.00,23.50,12.00,1360.00
1986,320,36979,0.00,246.40,0.00,23.50,11.00,1120.00
1986,321,36979,0.00,240.00,0.00,24.50,12.50,1120.00
1986,322,36979,3.00,137.60,0.00,23.00,14.00,1600.00
1986,323,36979,0.00,262.40,0.00,22.50,9.50,920.00
1986,324,36634,0.00,326.40,0.00,25.00,7.00,680.00
1986,325,36634,0.00,310.40,0.00,26.50,9.50,760.00
1986,326,36634,0.00,310.40,0.00,24.00,7.50,640.00
1986,327,36634,0.00,329.60,0.00,20.50,2.50,400.00
1986,328,36634,0.00,307.20,0.00,19.00,3.00,440.00
1986,329,36288,0.00,329.60,0.00,20.50,2.50,400.00
1986,330,36288,0.00,313.60,0.00,19.50,3.00,440.00
1986,331,36288,0.00,332.80,0.00,20.50,2.00,360.00
1986,332,36288,0.00,339.20,0.00,24.50,4.50,400.00
1986,333,36288,0.00,345.60,0.00,26.50,5.00,400.00
1986,334,36288,0.00,339.20,0.00,22.50,2.50,360.00
1986,335,35942,0.00,348.80,0.00,21.00,-1.00,280.00
1986,336,35942,0.00,342.40,0.00,23.00,1.00,320.00
1986,337,35942,0.00,345.60,0.00,25.00,1.50,320.00
1986,338,35942,0.00,320.00,0.00,23.50,3.50,400.00
1986,339,35942,0.00,224.00,0.00,21.50,9.50,840.00
1986,340,35942,13.00,128.00,0.00,19.00,10.00,1160.00
1986,341,35942,11.00,83.20,0.00,15.00,9.50,1200.00
1986,342,35942,4.00,134.40,0.00,15.50,6.50,960.00
1986,343,35597,0.00,256.00,0.00,15.00,1.50,640.00
1986,344,35597,2.00,214.40,0.00,12.50,2.00,720.00
1986,345,35597,0.00,262.40,0.00,12.00,-1.50,560.00
1986,346,35597,0.00,291.20,0.00,16.00,0.00,560.00
1986,347,35597,0.00,313.60,0.00,19.50,0.50,560.00
1986,348,35597,0.00,316.80,0.00,21.50,1.50,560.00
1986,349,35597,0.00,307.20,0.00,22.00,3.00,640.00
